Name,Latitude,Longitude,City,States
[SNP],57.15,170.22,StPaulIs,AK
[5GN],61.90,147.30,TahnetaPass,AK
[TKA],62.30,150.10,Talkeetna,AK
[TAL],65.17,152.10,Tanana,AK
[UMT],69.37,152.13,Umiat,AK
[UNK],63.88,160.80,Unalakleet,AK
[VWS],61.13,146.35,Valdez,AK
[VDZ],61.13,146.25,Valdez2,AK
[AIN],70.62,159.85,Wainwright,AK
[WAA],66.03,168.08,Wales,AK
[5WT],60.78,148.72,Whittier,AK
[Z22],61.75,150.05,WillowArpt,AK
[WRG],56.48,132.37,Wrangell,AK
[YAK],59.52,139.67,Yakutat,AK
[DMA],32.17,110.88,Davis-MAFB,AZ
[DVT],33.68,112.08,DeerValley,AZ
[DUG],31.45,109.60,Douglas,AZ
[FFZ],33.47,111.73,FalconFld,AZ
[FLG],35.13,111.67,Flagstaff,AZ
[FHU],31.60,110.35,FortHuachuc,AZ
[GBN],33.55,113.17,GilaBend,AZ
[GYR],33.42,112.38,Goodyear,AZ
[GCN],35.95,112.15,GrandCanyon,AZ
[IGM],35.27,113.95,Kingman,AZ
[LUF],33.53,112.38,Luke,AZ
[PGA],36.93,111.45,Page,AZ
[0E4],34.23,111.33,Payson,AZ
[PHX],33.43,112.02,Phoenix,AZ
[PRC],34.65,112.43,Prescott,AZ
[E74],32.82,109.68,SaffordAwrs,AZ
[SDL],33.62,111.92,Scottsdale,AZ
[E03],34.27,110.00,ShowLow,AZ
[SOW],34.27,110.00,ShowLow,AZ
[TUS],32.12,110.93,Tucson,AZ
[CHD],33.30,111.67,WilliamsAFB,AZ
[INW],35.02,110.73,Winslow,AZ
[YUM],33.10,115.00,Yuma,AZ
[NYL],32.65,114.62,YumaMcas,AZ
[1Y7],32.85,114.40,YumaPrvGd,AZ
[BYH],35.97,89.95,Blytheville,AR
[CDH],33.52,92.40,Camden,AR
[ELD],33.22,92.80,ElDorado,AR
[FYV],36.00,94.17,Fayetteville,AR
[FSM],35.33,94.37,FtSmith,AR
[HRO],36.27,93.15,Harrison,AR
[HOT],34.48,93.10,HotSprings,AR
[JBR],35.83,90.65,Jonesboro,AR
[LIT],35.22,92.38,LittleRock,AR
[LRF],34.92,92.15,LittleRock,AR
[LZK],34.83,92.25,LittleRock,AR
[PBF],34.17,91.93,PineBluff,AR
[ASG],36.18,94.13,Springdale,AR
[TXK],33.45,94.00,Texarkana,AR
[ARG],36.13,90.93,WalnutRidge,AR
[NGZ],37.78,122.32,AlamedaNAS,CA
[S11],41.48,120.53,Alturas,CA
[ACV],40.98,124.10,Arcata,CA
[BFL],35.43,119.05,Bakersfield,CA
[BAB],39.13,121.45,BealeAFB,CA
[BUO],33.93,116.95,Beaumont,CA
[BYS],35.28,116.62,BicycleLk,CA
[L35],34.27,116.68,BigBearApt,CA
[BIH],37.60,118.60,Bishop,CA
[BLU],39.28,120.70,BlueCanyon,CA
[BLH],33.62,114.72,Blythe,CA
[BUR],34.20,118.37,Burbank,CA
[NFG],33.30,117.35,CampPendlet,CA
[CZZ],32.62,116.47,Campo,CA
[CRQ],33.13,117.28,Carlsbad,CA
[MER],37.38,120.57,CastleAFB,CA
[CIC],39.78,121.85,Chico,CA
[NID],35.68,117.68,ChinaLake,CA
[CNO],33.97,117.63,Chino,CA
[CCR],37.98,122.05,Concord,CA
[CEC],41.78,124.23,CrescentCty,CA
[DAG],34.87,116.78,Daggett,CA
[EDW],34.90,117.88,EdwardsAFB,CA
[NJK],32.82,115.68,ElCentro,CA
[EMT],34.08,118.03,ElMonte,CA
[NZJ],33.67,117.73,ElToro,CA
[EKA],41.33,124.28,Eureka,CA
[HGT],36.00,121.32,FortHunter,CA
[OAR],36.68,121.77,FortOrd,CA
[FAT],36.77,119.72,Fresno,CA
[FUL],33.87,117.97,Fullerton,CA
[VCV],34.58,117.38,GeorgeAFB,CA
[HHR],33.92,118.33,Hawthorne,CA
[HWD],37.65,122.12,Hayward,CA
[IPL],32.83,115.57,Imperial,CA
[NRS],32.57,117.12,ImperialBch,CA
[POC],34.10,117.78,LaVerne,CA
[TVL],38.90,120.00,LakeTahoe,CA
[WJF],34.73,118.22,Lancaster,CA
[NLC],36.33,119.95,LemooreNAS,CA
[LVK],37.70,121.82,Livermore,CA
[LGB],33.82,118.15,LongBeach,CA
[SLI],33.78,118.05,LosAlamitos,CA
[LAX],33.93,118.40,LosAngeles,CA
[MMH],37.63,118.92,MammothLks,CA
[RIV],33.88,117.27,MarchAFB,CA
[MYV],39.10,121.57,Marysville,CA
[MHR],38.57,121.30,MatherAFB,CA
[MCC],38.67,121.40,Mcclellan,CA
[MCE],37.28,120.52,Merced,CA
[NKX],32.87,117.15,MiramarNAS,CA
[MOD],37.63,120.95,Modesto,CA
[NUQ],37.42,122.05,MoffetNAS,CA
[MHV],35.05,118.15,Mojave,CA
[1O5],41.73,122.53,Montague,CA
[MRY],36.58,121.85,Monterey,CA
[MHS],41.32,122.32,MountShasta,CA
[MWS],34.23,118.07,MountWilson,CA
[APC],38.22,122.28,Napa,CA
[EED],34.77,114.62,Needles,CA
[NZY],32.70,117.20,NorthIs,CA
[SBD],34.10,117.23,NortonAFB,CA
[OAK],37.73,122.22,Oakland,CA
[ONT],34.05,117.62,OntarioIntl,CA
[OXR],34.20,119.20,Oxnard,CA
[PSP],33.83,116.50,PalmSprings,CA
[PMD],35.05,118.13,Palmdale,CA
[PAO],37.47,122.12,PaloAlto,CA
[PRB],35.67,120.63,PasoRobles,CA
[53Q],37.83,122.83,PillaroPt,CA
[NTD],34.12,119.12,PointMugu,CA
[PAA],39.58,124.22,PtArena,CA
[PGU],34.95,121.12,PtArguello,CA
[87Q],35.67,121.28,PtPiedras,CA
[PPD],36.12,121.47,PtPiedras,CA
[RBL],40.15,122.25,RedBluff,CA
[RDD],40.50,122.30,Redding,CA
[RAL],33.95,117.45,Riverside,CA
[SAC],38.52,121.50,Sacramento,CA
[SMF],38.70,121.60,Sacramento,CA
[SNS],36.67,121.60,Salinas,CA
[SQL],37.52,122.25,SanCarlos,CA
[L10],33.42,117.62,SanClemente,CA
[NUC],33.02,118.58,SanClemente,CA
[MYF],32.82,117.13,SanDiego,CA
[SAN],32.73,117.17,SanDiego,CA
[SDM],32.57,116.98,SanDiego,CA
[SDM],32.57,116.98,SanDiego,CA
[SEE],32.82,116.97,SanDiego,CA
[51Q],37.75,122.68,SanFrancisco,CA
[SFO],37.62,122.38,SanFrancisco,CA
[SJC],37.37,121.92,SanJose,CA
[RHV],37.33,121.82,SanJose/Rei,CA
[SBP],35.23,120.65,SanLuisObi,CA
[L98],33.38,117.58,SanMateo,CA
[N5G],34.03,120.40,SanMiguel,CA
[NSI],33.25,119.45,SanNicIsl,CA
[SDB],34.75,118.73,Sandburg,CA
[SNA],33.67,117.88,SantaAna,CA
[SBA],34.43,119.83,SantaBarb,CA
[SMX],34.90,120.45,SantaMaria,CA
[SMO],34.02,118.45,SantaMonica,CA
[STS],38.52,122.82,SantaRosa,CA
[O87],40.03,124.07,ShelterCove,CA
[SIY],41.78,122.47,Siskiyou,CA
[SCK],37.90,121.25,Stockton,CA
[4SU],35.33,117.10,SuperiorVal,CA
[SVE],40.63,120.95,Susanville,CA
[TRM],33.63,116.17,Thermal,CA
[TOA],33.80,118.33,Torrance,CA
[SUU],38.27,121.93,TravisAFB,CA
[TRK],39.32,120.13,Truckee-Tahoe,CA
[NTK],33.70,117.83,TustinMcas,CA
[NXP],34.28,116.15,Twenty9Palm,CA
[UKI],39.13,123.20,Ukiah,CA
[VNY],34.22,118.48,VanNuys,CA
[VBG],35.20,120.95,Vandenberg,CA
[VBG],35.20,120.95,Vandenberg,CA
[VIS],36.32,119.40,Visalia,CA
[AFF],39.52,105.35,AirForceA,CO
[AKO],40.17,103.22,Akron,CO
[ALS],37.45,105.87,Alamosa,CO
[ASE],39.22,106.87,Aspen,CO
[BJC],39.90,105.12,Brmfield/Jef,CO
[BKF],39.72,104.75,Buckley,CO
[COS],38.82,104.72,ColoSprgs,CO
[CEZ],37.30,108.63,Cortez,CO
[CAG],40.50,107.53,Craig-Moffat,CO
[DEN],39.75,104.87,Denver,CO
[DRO],37.15,107.75,Durango,CO
[EGE],39.65,106.92,Eagle,CO
[APA],39.57,104.83,Englewood,CO
[FCS],38.68,104.77,FortCarson,CO
[FSR],39.57,105.50,Fraser,CO
[FNL],40.45,105.02,FtCol/Lovel,CO
[FCL],40.58,105.08,FtCollins,CO
[GJT],39.12,108.53,GrandJct,CO
[GXY],40.43,104.63,Greeley-Wld,CO
[2V9],38.55,106.93,Gunnison,CO
[GUC],38.55,106.92,Gunnison,CO
[LHX],38.05,103.52,LaJunta,CO
[4LJ],38.12,102.60,Lamar,CO
[LXV],39.25,106.30,Leadville,CO
[LIC],39.18,103.70,Limon,CO
[6V8],38.50,107.88,Montrose,CO
[MTJ],38.50,107.88,Montrose,CO
[PUB],38.28,104.52,Pueblo,CO
[1V1],39.53,107.80,Rifle,CO
[S29],38.53,106.05,Salida,CO
[SBS],40.48,106.82,SteamboatSp,CO
[TAD],37.25,104.33,Trinidad,CO
[C96],40.00,105.87,WinterPark,CO
[BDR],41.17,73.13,Bridgeport,CT
[DXR],41.37,73.48,Danbury,CT
[GON],41.33,72.05,Groton,CT
[HFD],41.73,72.65,Hartford,CT
[30N],41.22,72.67,NewHaven,CT
[HVN],41.27,72.88,NewHaven,CT
[N11],41.27,72.90,NewHaven,CT
[18N],41.30,72.08,NewLondon,CT
[BDL],41.93,72.68,WindsorLoc,CT
[DOV],39.13,75.47,Dover,DE
[ILG],39.67,75.60,Wilmington,DE
[IAD],38.95,77.46,Washington/Dulles,DC
[DCA],38.85,77.04,Washington/Natl,DC
[AQQ],29.73,85.03,Apalachicola,FL
[90J],29.12,81.57,AstorNAS,FL
[AGR],28.08,81.55,AvonParkG,FL
[XMR],28.47,80.55,CapeCanaveral,FL
[NZC],30.22,81.88,Cecil,FL
[CEW],30.78,86.52,Crestview,FL
[CTY],29.62,83.10,CrossCity,FL
[DAB],29.18,81.05,DaytonaBch,FL
[EGI],30.65,86.52,DukeFld,FL
[VPS],30.48,86.53,EglinAFB,FL
[X91],27.60,82.77,EgmontKey,FL
[FXE],26.13,80.13,FortLauderd,FL
[FMY],26.58,81.87,FortMyers,FL
[FLL],26.07,80.15,FtLauderdale,FL
[RSW],26.65,81.87,FtMyers,FL
[GNV],29.68,82.27,Gainesville,FL
[HST],25.48,80.38,Homestead,FL
[HRT],30.43,86.68,HurlburtFld,FL
[CRG],30.33,81.52,Jacksonville,FL
[JAX],30.50,81.70,Jacksonville,FL
[NIP],30.23,81.68,Jacksonville,FL
[EYW],24.55,81.75,KeyWest,FL
[NQX],24.57,81.68,KeyWestNAS,FL
[LAL],28.03,81.95,Lakeland,FL
[MCF],27.85,82.52,MacdillAFB,FL
[MAI],30.84,85.18,Marianna,FL
[NRB],30.40,81.42,MayportNAS,FL
[MLB],28.10,80.63,Melbourne,FL
[MIA],25.82,80.28,MiamiIntl,FL
[OPF],25.92,80.28,Miami/Opa,FL
[TMB],25.65,80.43,Miami/Tamiami,FL
[APF],26.13,81.80,Naples,FL
[X68],28.62,80.68,NasaShuttle,FL
[MCO],28.43,81.32,Orlando,FL
[ORL],28.55,81.33,Orlando,FL
[PFN],30.20,85.68,PanamaCity,FL
[COF],28.23,80.60,PatrickAFB,FL
[NPA],30.35,87.32,Pensacola,FL
[PNS],30.47,87.20,Pensacola,FL
[TBW],27.97,82.60,Ruskin,FL
[PIE],27.92,82.68,SaintPeters,FL
[SFB],28.78,81.25,Sanford,FL
[SRQ],27.40,82.55,Sarasota,FL
[TLH],30.38,84.37,Tallahassee,FL
[TPA],27.97,82.53,TampaIntl,FL
[TIX],28.52,80.80,Titusville,FL
[PAM],30.07,85.58,TyndallAFB,FL
[VRB],27.65,80.42,VeroBeach,FL
[PBI],26.68,80.12,WPalmBeach,FL
[NSE],30.72,87.02,WhitingFld,FL
[ABY],31.53,84.18,Albany,GA
[AMG],31.53,82.52,Alma,GA
[AHN],33.95,83.32,Athens,GA
[ATL],33.65,84.42,Atlanta,GA
[ATL],33.65,84.42,Atlanta,GA
[PDK],33.88,84.30,Atlanta/Dklb,GA
[FTY],33.78,84.52,Atlanta/Fltn,GA
[AGS],33.37,81.97,Augusta/Bush,GA
[SSI],31.15,81.38,Brunswick,GA
[CSG],32.52,84.93,Columbus,GA
[MGE],33.92,84.52,DobbinsAFB,GA
[MGF],34.53,84.87,DobbinsAFB,GA
[LSF],32.33,85.00,FortBenning,GA
[LHW],31.88,81.57,FtStewart,GA
[SVN],32.02,81.15,HunterAaf,GA
[LGC],33.01,85.07,LaGrange,GA
[MCN],32.70,83.65,Macon/Lewis,GA
[VAD],30.97,83.20,MoodyAFB,GA
[WRB],32.63,83.60,RobinsAFB,GA
[RMG],34.35,85.17,Rome/Russell,GA
[SAV],32.13,81.20,SavannahMun,GA
[VLD],30.78,83.28,Valdosta,GA
[AYS],31.25,82.40,Waycross,GA
[HNA],21.53,158.12,BarbersPt,HI
[HNA],21.53,158.12,BarbersPt,HI
[BKH],22.05,160.30,BarkingSan,HI
[1Z6],24.45,166.47,FrFrigate,HI
[ITO],19.72,155.07,Hilo,HI
[HNL],21.35,157.93,HonoluluInt,HI
[OGG],20.90,156.43,KahuluiMaui,HI
[HNG],21.75,158.28,KaneoheMca,HI
[HNG],21.75,158.28,KaneoheMca,HI
[KOA],19.75,156.05,Ke-Ahole/Kon,HI
[0Z5],22.38,159.67,KilaueaPt,HI
[LNY],20.80,156.95,Lanai-Lanai,HI
[LIH],21.98,159.35,Lihue-Kauai,HI
[JHM],20.97,156.83,Maui,HI
[MKK],21.15,157.10,Molokai,HI
[1Z2],20.42,156.47,UpoloPtLn,HI
[MUE],20.00,156.12,Waimea-Koha,HI
[BOI],43.57,116.22,Boise,ID
[BYI],42.53,113.77,Burley,ID
[U15],44.52,114.22,Challis,ID
[COE],47.77,116.82,Coeurd'Alene,ID
[P69],45.82,115.43,ElkCity,ID
[GNG],43.00,115.17,Gooding,ID
[S80],45.92,116.13,Grangeville,ID
[IDA],43.52,112.07,IdahoFalls,ID
[LWS],46.38,117.02,Lewiston,ID
[MLD],42.17,112.32,MaladCity,ID
[77M],42.30,113.37,Malta,ID
[MYL],44.88,116.10,Mccall,ID
[MUO],43.05,115.87,MountnHome,ID
[S06],47.47,115.80,Mullan,ID
[PIH],42.92,112.60,Pocatello,ID
[27U],45.18,113.90,Salmon,ID
[SMN],45.17,114.47,Salmon,ID
[U78],42.65,111.58,SodaSprings,ID
[SUN],43.50,114.30,SunValley,ID
[TWF],42.48,114.48,TwinFalls,ID
[ALN],38.88,90.05,Alton,IL
[ARR],41.77,88.32,Aurora,IL
[CPS],38.57,90.15,BistatePark,IL
[BMI],40.48,88.93,Bloomington,IL
[BDF],41.16,89.60,Bradford,IL
[CTR],37.07,89.22,Cairo,IL
[MDH],37.78,89.25,Carbondale,IL
[ENL],38.51,89.09,Centralia,IL
[CMI],40.03,88.28,Champaign/Urbana,IL
[CHI],41.90,87.65,Chicago,IL
[CGX],41.87,87.62,Chicago/Meigs,IL
[MDW],41.78,87.75,Chicago/Midway,IL
[ORD],41.98,87.90,Chicago/O'hare,IL
[DNV],40.20,87.60,Danville,IL
[DKB],41.93,88.72,DeKalb,IL
[DEC],39.83,88.87,Decatur,IL
[DPA],41.92,88.25,DuPage,IL
[GBG],40.93,90.43,Galesburg,IL
[NBU],42.08,87.82,GlenviewNAS,IL
[IKK],41.07,87.85,Kankakee,IL
[MQB],40.52,90.66,Macomb,IL
[MWA],37.75,89.00,Marion,IL
[MMO],41.37,88.68,Marseilles,IL
[MTO],39.48,88.28,Mattoon,IL
[MLI],41.45,90.52,Moline/Quad,IL
[MVN],38.32,88.86,MountVernon,IL
[PIA],40.67,89.68,Peoria,IL
[UIN],39.93,91.20,Quincy,IL
[RFD],42.20,89.10,Rockford,IL
[SLO],38.63,88.96,Salem,IL
[BLV],38.55,89.85,ScottAFB,IL
[SPI],39.85,89.67,Springfield,IL
[SQI],41.74,89.67,Sterling,IL
[TAZ],39.53,89.33,Taylorville,IL
[VLA],38.99,89.17,Vandalia,IL
[BAK],39.38,86.50,BakalarAf,IN
[BMG],39.13,86.62,Bloomington,IN
[EKM],41.72,86.00,Elkhart,IN
[EVV],38.05,87.53,Evansville,IN
[FWA],41.00,85.20,FortWayne,IN
[GYY],41.62,87.42,Gary,IN
[GUS],40.65,86.15,GrissomAFB,IN
[IND],39.73,86.27,Indianapolis,IN
[MIE],40.23,85.38,Muncie,IN
[SBN],41.70,86.32,SouthBend,IN
[HUF],39.45,87.30,TerreHaute,IN
[LAF],40.42,86.93,WLafayette,IN
[BRL],40.78,91.12,Burlington,IA
[CID],41.88,91.70,CedarRapids,IA
[DSM],41.53,93.65,DesMoines,IA
[DBQ],42.40,90.70,Dubuque,IA
[EST],43.40,94.75,Estherville,IA
[FOD],42.55,94.18,FortDodge,IA
[3OI],40.62,93.93,Lamoni,IA
[MCW],43.15,93.33,MasonCity,IA
[OTM],41.10,92.45,Ottumwa,IA
[SUX],42.40,96.38,SiouxCity,IA
[3SE],43.17,95.15,Spencer,IA
[ALO],42.55,92.40,WaterlooMun,IA
[CNU],37.67,95.48,Chanute,KS
[3KM],37.75,97.22,Col.JJabar,KS
[CNK],39.55,97.65,Concordia,KS
[DDC],37.77,99.97,DodgeCity,KS
[1K5],37.00,101.88,Elkhart,KS
[EMP],38.33,96.20,Emporia,KS
[FLV],39.37,94.92,FtLeavnwrth,KS
[FRI],39.05,96.77,FtRiley,KS
[GCK],37.93,100.72,GardenCity,KS
[GLD],39.37,101.70,Goodland,KS
[HYS],38.85,99.27,Hays,KS
[HLC],39.38,99.83,HillCity,KS
[HUT],38.07,97.87,Hutchinson,KS
[IXD],38.82,94.88,JohnsonCnty,KS
[LBL],37.05,100.97,Liberal,KS
[MHK],39.15,96.67,Manhatten,KS
[IAB],37.62,97.27,McconnellAf,KS
[P28],37.30,98.58,MedicineLdg,KS
[OJC],38.85,94.90,Olathe,KS
[RSL],38.87,98.82,Russell,KS
[SLN],38.80,97.65,Salina,KS
[TOP],39.07,95.62,Topeka,KS
[FOE],38.95,95.67,Topeka/Forbe,KS
[ICT],37.65,97.43,Wichita,KS
[BWG],36.97,86.43,BowlingGren,KY
[HOP],36.67,87.50,FtCampbell,KY
[FTK],37.90,85.97,FtKnox,KY
[JKL],37.60,83.32,Jackson,KY
[LEX],38.05,85.00,Lexington,KY
[LOZ],37.08,84.07,London,KY
[LOU],38.23,85.67,Louisville,KY
[SDF],38.18,85.73,Louisville,KY
[OWB],37.75,87.17,Owensboro,KY
[PAH],37.07,88.77,Paducah,KY
[5I3],37.48,82.52,Pikeville,KY
[ESF],31.38,92.30,Alexandria,LA
[BAD],32.50,93.67,Barksdale,LA
[BTR],30.53,91.15,BatonRouge,LA
[BVE],29.55,89.67,Boothville,LA
[7R5],29.78,93.30,CameronHeli,LA
[01R],31.22,92.95,ClaiborneR,LA
[AEX],31.33,92.55,EnglandAFB,LA
[41I],28.47,91.78,EugeneIs.,LA
[POE],31.05,93.20,FortPolk,LA
[AXO],29.18,90.07,GrandIsle,LA
[5R0],28.22,93.75,HighIs,LA
[01T],28.13,94.40,HighIsland,LA
[HUM],29.57,90.65,Houma,LA
[7R4],29.73,92.12,Intercoastal,LA
[LFT],30.20,92.00,Lafayette,LA
[LCH],30.12,93.22,LakeCharles,LA
[7R3],29.70,91.10,LkPalourde,LA
[1G7],28.78,89.05,MissippiCan,LA
[MLU],32.52,92.05,Monroe,LA
[PTN],29.70,91.20,MorganCity,LA
[ARA],30.03,91.88,NewIberia,LA
[MSY],29.98,90.25,NewOrleans,LA
[NBG],29.83,90.02,NewOrleans,LA
[NEW],30.03,90.03,NewOrleans,LA
[7R8],28.30,91.98,SMarshIsl,LA
[DTN],32.52,93.75,Shreveport,LA
[SHV],32.47,93.82,Shreveport,LA
[SIL],30.35,89.82,Slidel,LA
[AUG],44.32,69.80,Augusta,ME
[BGR],44.80,68.82,Bangor,ME
[BHB],44.45,68.37,BarHarbor,ME
[NHZ],43.88,69.93,Brunswick,ME
[CAR],46.87,68.02,CaribouMun,ME
[3B1],45.45,69.55,Greenville,ME
[6B2],45.78,69.63,Greenville,ME
[HUL],46.13,67.78,Houlton,ME
[LIZ],46.95,67.88,LoringAFB,ME
[PWM],43.65,70.32,Portland,ME
[PQI],46.68,68.05,PresqueIsle,ME
[RKD],44.07,69.12,Rockland,ME
[RUM],44.88,70.88,Rumford,ME
[ADW],38.82,76.87,AndrewsAFB,MD
[BAL],39.18,76.67,Baltimore,MD
[BWI],39.18,76.67,Baltimore,MD
[MTN],39.33,76.42,Baltimore,MD
[FME],39.08,76.77,FortMeade,MD
[HGR],39.70,77.72,Hagerstown,MD
[N80],38.55,75.13,OceanCity,MD
[NHK],38.28,76.40,Patuxent,MD
[APG],39.47,76.17,Phillips,MD
[SBY],38.33,75.50,Salisbury,MD
[BED],42.47,71.28,Bedford,MA
[BVY],42.58,70.92,Beverly,MA
[BOS],42.37,71.03,Boston,MA
[30B],41.78,70.50,CapeCodCan,MA
[CHH],41.67,69.97,Chatham,MA
[AYE],42.57,71.60,FortDevens,MA
[HYA],41.67,70.28,Hyannis,MA
[LWM],42.72,71.12,Lawrence,MA
[MVY],41.40,70.62,MarthasVine,MA
[ACK],41.25,70.07,Nantucket,MA
[EWB],41.68,70.97,NewBedford,MA
[OWD],42.18,71.18,Norwood,MA
[FMH],41.65,70.52,OtisANGB,MA
[PSF],42.26,73.18,Pittsfield,MA
[NZW],42.15,70.93,SWeymouth,MA
[BAF],42.17,72.72,Westfield,MA
[CEF],42.20,72.53,Westover,MA
[ORH],42.27,71.87,Worcester,MA
[APN],45.07,83.57,Alpena,MI
[ARB],42.22,83.75,AnnArbor,MI
[BTL],42.30,85.23,BattleCreek,MI
[BEH],42.13,86.43,BentonHarbor,MI
[CIU],46.25,84.47,Chippewa,MI
[C10],43.07,85.95,Coopersville,MI
[P59],47.47,87.85,CopperHarb,MI
[DET],42.42,83.02,Detroit,MI
[DTW],42.23,83.33,Detroit,MI
[ESC],45.73,87.08,Escanaba,MI
[FNT],42.97,83.75,Flint/Bishop,MI
[GRR],42.88,85.52,GrandRapids,MI
[CMX],47.17,88.50,Hancock,MI
[P58],43.83,82.53,HarborBeach,MI
[HTL],44.37,84.68,HoughtonLake,MI
[IMT],45.82,88.12,IronMtn,MI
[IWD],46.53,90.13,Ironwood,MI
[JXN],42.27,84.47,Jackson,MI
[AZO],42.23,85.55,Kalamazoo,MI
[LAN],42.77,84.60,Lansing,MI
[MBL],44.27,86.25,Manistee,MI
[MQT],46.88,87.95,Marquette,MI
[MNM],45.12,87.63,Menominee,MI
[MKG],43.17,86.25,Muskegon,MI
[PLN],45.57,84.80,Pellston,MI
[PTK],42.67,83.42,Pontiac,MI
[MBS],43.53,84.08,Saginaw,MI
[SSM],46.47,84.37,SaultSteM,MI
[SAW],46.35,87.40,SawyerAFB,MI
